	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_990	12	0	0	0.0773137094539519	0.000960614793467819	1
OTU_99	82	79.2670191045131	5594	0.700084377483457	0.00112739571589628	0.756699789220114
OTU_989	46	0.511543618792177	32	0.0621701570551559	0.000936329588014981	0.981642512077295
OTU_984	2	0	0	0.0228663152679685	0.000871839581517001	1
OTU_973	14	0	0	0.0233391057898025	0.000876424189307625	1
OTU_97	137	1442.74736709552	59474	0.927274450623836	0.00131233595800525	0.439351653069987
OTU_969	1	0	0	0.00230970476523842	0.000807754442649435	0
OTU_96	106	1112.65832943409	68067	0.529891024273607	0.0012970168612192	0.383468104222821
OTU_953	3	0	0	0.00684027397372424	0.000848896434634975	1
OTU_951	13	0	0	0.0864645164847901	0.000957854406130268	1
OTU_932	1	0	0	0.00552048042682854	0.0008058017727639	0
OTU_925	2	0	0	0.00284280354278148	0.000814995925020375	1
OTU_92	104	198.024667280496	17258	0.839629009145347	0.00120048019207683	0.645257654966393
OTU_914	1	0	0	0.004712487304391	0.000797448165869218	0
OTU_91	53	1.89380665882055	209	0.50427478471414	0.000997008973080758	0.958635703918723
OTU_906	2	0	0	0.016478063445313	0.000920810313075506	1
OTU_90	91	1587.58839479671	47132	0.145786391220248	0.00123915737298637	0.517948717948718
OTU_89	135	866.656207522155	51426	0.92191461781251	0.00130208333333333	0.455610834715312
OTU_885	1	0	0	0.0016287531150719	0.000791139240506329	0
OTU_883	20	0	0	0.116256654637508	0.0009765625	1
OTU_88	149	1142.85716119293	68105	0.975823752992311	0.00127877237851662	0.401505532378016
OTU_87	93	1108.22062958334	54936	0.234142897050775	0.00121951219512195	0.494389901823282
OTU_869	3	0	0	0.00484400272406441	0.00084530853761623	1
OTU_868	28	0	0	0.0450699267363201	0.000909918107370337	1
OTU_862	2	0	0	0.0225436538997362	0.000886524822695036	1
OTU_86	80	625.563792423543	29672	0.143819166467272	0.00112739571589628	0.632911392405063
OTU_854	40	0.642497193382173	55	0.0562107973870911	0.000931966449207828	0.978205128205128
OTU_85	102	1669.80429559725	48026	0.458380997761664	0.00123152709359606	0.441661813240148
OTU_845	12	0	0	0.0209612692529424	0.00087719298245614	1
OTU_844	56	3.14149218942521	255	0.0729685203004581	0.000954198473282443	0.93961038961039
OTU_835	35	2.33609813476667	98	0.0586357711845267	0.000932835820895522	0.932773109243697
OTU_824	17	0.0217391304347826	1	0.0241887741935524	0.000864304235090752	0.992647058823529
OTU_823	13	0	0	0.147589911927078	0.00099009900990099	1
OTU_81	147	1807.94078921327	88189	0.814432221958318	0.00132275132275132	0.360264653806728
OTU_807	56	3.65849810197633	280	0.0713831687758894	0.000954198473282443	0.931818181818182
OTU_804	12	0	0	0.13562979915812	0.000899280575539568	1
OTU_799	5	0	0	0.0270279641109979	0.000971817298347911	1
OTU_79	58	1004.85644274074	32982	0.138862725207792	0.00108813928182807	0.646098003629764
OTU_785	8	0	0	0.0932611602663599	0.000903342366757001	1
OTU_784	4	0	0	0.0318077593431816	0.000927643784786642	1
OTU_780	66	14.6777535630166	858	0.0797296771199063	0.000963391136801541	0.841025641025641
OTU_78	9	16.7939543979372	1075	0.0338150307825572	0.00101112234580384	0.638888888888889
OTU_777	5	0	0	0.0467857900405696	0.000949667616334283	1
OTU_776	7	0	0	0.061965537835405	0.00100200400801603	1
OTU_773	2	0	0	0.0194706007183812	0.000907441016333938	1
OTU_769	1	0	0	0.0118317324202163	0.000898472596585804	0
OTU_767	7	0	0	0.0498497793995889	0.000937207122774133	1
OTU_763	62	11.6967234659771	561	0.0764853108477486	0.000959692898272553	0.872554204124802
OTU_76	129	1160.73911905943	68852	0.798046684453378	0.00133511348464619	0.409399224806202
OTU_752	12	2.56829201324619	55	0.0156150029148444	0.000873362445414847	0.893939393939394
OTU_75	84	888.737945989591	29755	0.126803663842496	0.00120772946859903	0.588353413654618
OTU_748	64	13.2033927478095	776	0.0781582885821444	0.000961538461538461	0.853670634920635
OTU_745	5	0	0	0.056889902583842	0.000982318271119843	1
OTU_74	77	327.659084997865	16560	0.105664981649984	0.00112233445566779	0.678400546821599
OTU_739	3	0	0	0.0351957435395396	0.000869565217391304	1
OTU_735	4	0	0	0.0348108574227428	0.000912408759124088	1
OTU_731	63	8.28373511358375	559	0.0782691730843415	0.000960614793467819	0.883256528417819
OTU_73	149	1203.82591828888	67057	0.97041889366945	0.00129533678756477	0.399328859060403
OTU_722	38	0.0894613475503263	4	0.392431536065356	0.000974658869395711	0.994310099573257
OTU_717	4	1.33703880468217	104	0.0272091835808677	0.00102564102564103	0.833333333333333
OTU_707	1	0	0	0.00380408005020212	0.000816993464052287	0
OTU_705	8	0	0	0.0917802643164689	0.000888888888888889	1
