	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_2	10	58	96	0.744827822	0.026315789	0.133333333
OTU_3	6	24.9	50	0.60776854	0.023255814	0.4
OTU_8	5	9.538888889	24	0.541164905	0.024390244	0.4
OTU_9	4	3.333333333	10	0.475624519	0.021276596	0.5
OTU_16	5	3.444444444	15	0.668999415	0.023809524	0.7
OTU_21	3	2.011111111	8	0.378003542	0.02173913	0.333333333
OTU_26	1	0	0	0.058916297	0.015384615	0
OTU_34	1	0	0	0.117130091	0.016666667	0
OTU_39	12	68.36666667	132	1	0.029411765	0.166666667
OTU_44	3	7.427777778	18	0.326434769	0.022222222	0
OTU_47	2	1	2	0.172701425	0.018181818	0
OTU_48	8	46.81666667	90	0.688040603	0.025641026	0.214285714
OTU_95	1	0	0	0.170237179	0.018181818	0
OTU_170	1	0	0	0.137572282	0.016666667	0
OTU_214	6	9.088888889	33	0.769090314	0.025641026	0.6
OTU_361	8	33.01666667	65	0.808121254	0.025641026	0.357142857
OTU_399	1	0	0	0.103464802	0.015625	0
OTU_408	4	10.61111111	22	0.36113788	0.022222222	0.333333333
OTU_941	3	0.666666667	2	0.399935848	0.021276596	0.666666667
OTU_3606	2	0	0	0.28736727	0.02	1
OTU_5003	2	0	0	0.188276481	0.018181818	1
OTU_6339	2	0	0	0.188276481	0.018181818	1
OTU_12444	4	22.77777778	35	0.346083609	0.022727273	0.333333333
