#module: 5
#modularity: 0.3003622
No	ID	No. module	Zi	Pi	Network roles
1	OTU_95	4	-1.41421356237309	0	Peripheral species
2	OTU_941	2	-0.836660026534075	0.666666666666667	Connector hubs
3	OTU_9	4	0	0.5	Peripheral species
4	OTU_8	2	0.836660026534075	0.56	Peripheral species
5	OTU_6339	1	-0.353553390593274	0	Peripheral species
6	OTU_5003	1	-0.353553390593274	0	Peripheral species
7	OTU_48	2	1.67332005306815	0.65625	Connector hubs
8	OTU_47	1	-1.4142135623731	0.5	Peripheral species
9	OTU_44	1	-0.353553390593274	0.444444444444444	Peripheral species
10	OTU_408	1	0.707106781186548	0.375	Peripheral species
11	OTU_399	3	-1.33630620956212	0	Peripheral species
12	OTU_39	4	1.41421356237309	0.736111111111111	Connector hubs
13	OTU_361	3	1.0690449676497	0.625	Connector hubs
14	OTU_3606	2	-0.836660026534075	0.5	Peripheral species
15	OTU_34	2	-0.836660026534075	0	Peripheral species
16	OTU_3	3	1.0690449676497	0.5	Peripheral species
17	OTU_28	5	0	0	Peripheral species
18	OTU_26	2	-0.836660026534075	0	Peripheral species
19	OTU_214	3	0.267261241912425	0.666666666666667	Connector hubs
20	OTU_21	4	0	0.444444444444444	Peripheral species
21	OTU_2	1	1.76776695296637	0.7	Connector hubs
22	OTU_170	3	-1.33630620956212	0	Peripheral species
23	OTU_16	3	0.267261241912425	0.56	Peripheral species
24	OTU_12444	2	0.836660026534075	0.375	Peripheral species
