	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_2	35	166.790735	1203	0.590718916	0.006134969	0.290756303
OTU_3	54	411.0538	2697	0.818139462	0.006993007	0.22501747
OTU_4	18	28.4947123	230	0.339533556	0.005376344	0.477124183
OTU_5	10	1.695246399	21	0.24220674	0.005050505	0.711111111
OTU_6	12	4.3302887	47	0.271001105	0.005102041	0.666666667
OTU_9	15	20.89080824	269	0.334414861	0.005464481	0.495238095
OTU_16	54	399.0880006	2832	0.808313137	0.006993007	0.222222222
OTU_18	17	29.56047652	265	0.312149595	0.005235602	0.529411765
OTU_21	52	406.1801331	2572	0.770300518	0.006944444	0.216440422
OTU_24	17	54.65989883	404	0.267100003	0.005494505	0.301470588
OTU_25	32	163.0625843	1125	0.513843611	0.006097561	0.306451613
OTU_26	6	3.63013271	24	0.08885257	0.004201681	0.4
OTU_28	45	366.3402613	2131	0.713995193	0.006622517	0.245454545
OTU_29	40	178.0885836	1447	0.717111556	0.006369427	0.314102564
OTU_31	64	554.799017	3353	1	0.007518797	0.226190476
OTU_33	20	41.96997184	290	0.345437408	0.005263158	0.436842105
OTU_34	26	92.60350223	741	0.483354931	0.005813953	0.396923077
OTU_35	60	494.8414136	3167	0.959219671	0.00729927	0.24519774
OTU_37	36	204.8508276	1302	0.566772427	0.00621118	0.246031746
OTU_39	15	6.804870233	82	0.390242975	0.005464481	0.733333333
OTU_44	12	13.35592685	134	0.271949422	0.005235602	0.681818182
OTU_47	7	0.700655356	10	0.181825977	0.004926108	0.80952381
OTU_48	1	0	0	0.005291927	0.003355705	0
OTU_53	7	12.69878077	132	0.148991078	0.004950495	0.476190476
OTU_59	4	0	0	0.13352919	0.004587156	1
OTU_63	8	0.1	1	0.214496207	0.004830918	0.964285714
OTU_80	7	99.00560496	405	0.123406317	0.004975124	0.380952381
OTU_98	6	4.126450845	40	0.106334417	0.004878049	0.466666667
OTU_105	31	107.892762	769	0.510291037	0.00591716	0.331182796
OTU_114	16	26.94863629	250	0.326873365	0.005464481	0.458333333
OTU_146	14	13.7746218	116	0.347046619	0.005376344	0.725274725
OTU_161	21	24.87611123	289	0.496124289	0.005649718	0.552380952
OTU_164	5	3.88828585	34	0.073630967	0.004504505	0.3
OTU_187	13	15.36095926	141	0.247756525	0.005128205	0.487179487
OTU_209	3	0	0	0.049807288	0.004149378	1
OTU_214	43	227.39704	1749	0.678414028	0.006493506	0.256921373
OTU_226	11	2.984730668	33	0.241719959	0.004901961	0.745454545
OTU_238	6	0	0	0.187778969	0.005025126	1
OTU_260	35	96.219343	841	0.611339056	0.006097561	0.356302521
OTU_276	6	4.894093683	39	0.098433416	0.004545455	0.466666667
OTU_320	15	43.38516589	375	0.279567611	0.005347594	0.447619048
OTU_326	8	6.321038517	66	0.183205415	0.005181347	0.607142857
OTU_371	18	65.99461749	467	0.294679043	0.005494505	0.326797386
OTU_397	2	0	0	0.043254113	0.0041841	1
OTU_408	14	0.986980095	12	0.392101837	0.005434783	0.879120879
OTU_441	11	16.21127505	143	0.190256407	0.005025126	0.345454545
OTU_499	11	15.4144139	101	0.167929706	0.004830918	0.509090909
OTU_504	15	15.50706016	169	0.285452674	0.005128205	0.523809524
OTU_531	17	27.42277747	261	0.319553192	0.005319149	0.485294118
OTU_581	10	7.362827574	71	0.20452049	0.004830918	0.511111111
OTU_629	7	0.05	1	0.211006879	0.005102041	0.952380952
OTU_741	6	0	0	0.169225953	0.004739336	1
OTU_795	6	2.098600285	14	0.09848868	0.004524887	0.533333333
OTU_905	11	3.790631865	50	0.265090213	0.005181347	0.709090909
OTU_1058	6	5.119514064	78	0.129599838	0.004926108	0.4
OTU_1142	5	0.431059681	5	0.133581946	0.004651163	0.6
OTU_1592	11	9.80133224	104	0.301993617	0.005347594	0.709090909
OTU_1617	8	1.026649297	17	0.216924871	0.005	0.75
OTU_1698	9	1.661603036	26	0.189161642	0.004878049	0.777777778
OTU_1760	4	0	0	0.124993905	0.004424779	1
OTU_1831	13	4.465419993	55	0.293317258	0.005235602	0.705128205
OTU_2302	3	0	0	0.096786184	0.004366812	1
OTU_2314	7	0	0	0.191162014	0.004672897	1
OTU_2330	5	1.44242667	32	0.146682853	0.004716981	0.6
OTU_3411	10	5.655684657	76	0.233952229	0.005181347	0.577777778
OTU_3606	11	8.371785154	122	0.278683894	0.005291005	0.672727273
OTU_3763	8	4.559294106	36	0.146777196	0.004901961	0.5
OTU_4497	14	9.182645663	119	0.311002625	0.005263158	0.582417582
OTU_4508	15	10.21845501	73	0.285118506	0.005050505	0.533333333
OTU_5003	22	24.11885907	264	0.51807102	0.005714286	0.584415584
OTU_5095	12	3.580938225	39	0.254845199	0.004975124	0.666666667
OTU_5152	11	1.60355717	30	0.328961202	0.005319149	0.745454545
OTU_5242	8	1.74713988	24	0.217900814	0.005154639	0.678571429
OTU_5587	10	3.516275215	43	0.268635899	0.005347594	0.644444444
OTU_5603	4	0	0	0.129571503	0.004716981	1
OTU_6339	17	16.30996904	258	0.423847922	0.005524862	0.676470588
OTU_7033	10	1.761351632	17	0.237463089	0.005235602	0.733333333
OTU_7888	6	1.051576364	11	0.16302744	0.005	0.733333333
