#module: 3
#modularity: 0.2516956
No	ID	No. module	Zi	Pi	Network roles
1	OTU_98	2	-0.585410784382273	0.277777777777778	Peripheral species
2	OTU_9528	2	-0.282612102805235	0	Peripheral species
3	OTU_905	2	-0.0807463150872101	0.165289256198347	Peripheral species
4	OTU_9	1	-0.198124374853828	0.444444444444444	Peripheral species
5	OTU_80	1	-0.848219979842951	0.408163265306122	Peripheral species
6	OTU_795	3	-0.843274042711568	0.611111111111111	Peripheral species
7	OTU_7888	2	-0.686343678241285	0.444444444444444	Peripheral species
8	OTU_741	2	-0.48447789052326	0	Peripheral species
9	OTU_7033	2	-0.181679208946223	0.18	Peripheral species
10	OTU_6339	2	0.222052366489827	0.359861591695502	Peripheral species
11	OTU_63	2	-0.282612102805235	0	Peripheral species
12	OTU_629	2	-0.48447789052326	0.244897959183674	Peripheral species
13	OTU_6	1	-0.0681052538560033	0.152777777777778	Peripheral species
14	OTU_59	2	-0.686343678241285	0	Peripheral species
15	OTU_581	2	-0.181679208946223	0.18	Peripheral species
16	OTU_5603	1	-1.1082582218386	0.375	Peripheral species
17	OTU_5587	3	-0.843274042711568	0.64	Connector hubs
18	OTU_531	1	0.451971230135295	0.207612456747405	Peripheral species
19	OTU_53	2	-0.686343678241285	0.571428571428571	Peripheral species
20	OTU_5242	2	-0.585410784382273	0.46875	Peripheral species
21	OTU_5152	1	-0.718200858845126	0.495867768595041	Peripheral species
22	OTU_5095	1	0.0619138671418212	0	Peripheral species
23	OTU_504	1	0.191932988139646	0.24	Peripheral species
24	OTU_5003	2	0.423918154207853	0.433884297520661	Peripheral species
25	OTU_5	1	-0.458162616849477	0.32	Peripheral species
26	OTU_499	1	-0.328143495851653	0.297520661157025	Peripheral species
27	OTU_48	1	-1.36829646383425	0	Peripheral species
28	OTU_47	2	-0.585410784382273	0.408163265306122	Peripheral species
29	OTU_4508	1	0.32195210913747	0.124444444444444	Peripheral species
30	OTU_4497	1	-0.0681052538560033	0.336734693877551	Peripheral species
31	OTU_441	2	-0.585410784382273	0.495867768595041	Peripheral species
32	OTU_44	2	-0.181679208946223	0.402777777777778	Peripheral species
33	OTU_408	2	0.0201865787718024	0.336734693877551	Peripheral species
34	OTU_4	1	0.0619138671418212	0.475308641975309	Peripheral species
35	OTU_397	1	-1.23827734283642	0	Peripheral species
36	OTU_39	2	0.0201865787718024	0.391111111111111	Peripheral species
37	OTU_3763	3	-0.105409255338946	0.65625	Connector hubs
38	OTU_371	1	-0.198124374853828	0.493827160493827	Peripheral species
39	OTU_37	2	0.928582623502915	0.516975308641975	Peripheral species
40	OTU_3606	2	-0.282612102805235	0.396694214876033	Peripheral species
41	OTU_35	1	2.40225804510266	0.589444444444444	Peripheral species
42	OTU_3411	2	-0.48447789052326	0.54	Peripheral species
43	OTU_34	1	0.972047714126593	0.411242603550296	Peripheral species
44	OTU_33	1	0.451971230135295	0.375	Peripheral species
45	OTU_326	3	0.632455532033676	0.59375	Peripheral species
46	OTU_320	1	-0.458162616849477	0.497777777777778	Peripheral species
47	OTU_31	1	2.66229628709831	0.54248046875	Module hubs
48	OTU_3	2	3.14910628840119	0.367626886145405	Module hubs
49	OTU_29	2	1.33231419893897	0.49875	Peripheral species
50	OTU_28	1	2.14221980310701	0.511604938271605	Peripheral species
51	OTU_276	3	-0.105409255338946	0.611111111111111	Peripheral species
52	OTU_26648	1	-0.458162616849477	0.197530864197531	Peripheral species
53	OTU_260	1	2.01220068210919	0.35265306122449	Peripheral species
54	OTU_26	1	-0.848219979842951	0.277777777777778	Peripheral species
55	OTU_25833	2	0.121119472630815	0.515	Peripheral species
56	OTU_25802	1	0.972047714126593	0.3648	Peripheral species
57	OTU_25720	2	-0.383544996664248	0.21875	Peripheral species
58	OTU_25	1	1.49212419811789	0.431640625	Peripheral species
59	OTU_24593	1	-1.36829646383425	0.5	Peripheral species
60	OTU_24	3	2.10818510677892	0.650519031141868	Connector hubs
61	OTU_238	2	-0.585410784382273	0.277777777777778	Peripheral species
62	OTU_23467	2	-0.282612102805235	0.473372781065089	Peripheral species
63	OTU_2330	2	-0.686343678241285	0.32	Peripheral species
64	OTU_2314	2	-0.383544996664248	0	Peripheral species
65	OTU_2302	2	-0.787276572100298	0	Peripheral species
66	OTU_22744	2	-0.181679208946223	0.297520661157025	Peripheral species
67	OTU_226	2	0.0201865787718024	0	Peripheral species
68	OTU_21882	1	-0.458162616849477	0.444444444444444	Peripheral species
69	OTU_214	2	2.4425760313881	0.310438074634938	Peripheral species
70	OTU_21	2	3.14910628840119	0.317307692307692	Module hubs
71	OTU_209	1	-1.1082582218386	0	Peripheral species
72	OTU_2	2	0.827649729643903	0.542040816326531	Peripheral species
73	OTU_187	1	-0.0681052538560033	0.260355029585799	Peripheral species
74	OTU_1831	1	-0.0681052538560033	0.272189349112426	Peripheral species
75	OTU_18063	1	-0.588181737847302	0	Peripheral species
76	OTU_18034	1	-0.588181737847302	0.21875	Peripheral species
77	OTU_18	1	0.58199035113312	0.110726643598616	Peripheral species
78	OTU_1760	2	-0.686343678241285	0	Peripheral species
79	OTU_1698	1	-0.328143495851653	0	Peripheral species
80	OTU_16949	2	-0.282612102805235	0.396694214876033	Peripheral species
81	OTU_164	2	-0.787276572100298	0.48	Peripheral species
82	OTU_1617	1	-0.718200858845126	0.375	Peripheral species
83	OTU_161	2	0.32298526034884	0.444444444444444	Peripheral species
84	OTU_16	2	3.35097207611922	0.316186556927298	Module hubs
85	OTU_1592	3	-0.843274042711568	0.59504132231405	Peripheral species
86	OTU_15396	2	-0.48447789052326	0.244897959183674	Peripheral species
87	OTU_14771	2	-0.181679208946223	0.5	Peripheral species
88	OTU_146	2	0.0201865787718024	0.336734693877551	Peripheral species
89	OTU_13799	1	-0.458162616849477	0.32	Peripheral species
90	OTU_13473	2	-0.787276572100298	0.375	Peripheral species
91	OTU_13449	1	-0.718200858845126	0.375	Peripheral species
92	OTU_13207	1	-0.718200858845126	0	Peripheral species
93	OTU_13098	2	-0.48447789052326	0	Peripheral species
94	OTU_12712	2	-0.48447789052326	0.48	Peripheral species
95	OTU_1142	2	-0.686343678241285	0.32	Peripheral species
96	OTU_114	2	-0.0807463150872101	0.5078125	Peripheral species
97	OTU_1058	2	-0.787276572100298	0.5	Peripheral species
98	OTU_105	1	1.36210507712007	0.441207075962539	Peripheral species
99	OTU_10128	1	-0.588181737847302	0.345679012345679	Peripheral species
