	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_10	22	51.1892223	1454	0.046513614	0.001173709	0.701298701
OTU_11	10	4.690269232	109	0.02284762	0.001058201	0.777777778
OTU_13	77	2312.613171	66843	0.621152918	0.001408451	0.410457963
OTU_17	79	262.0825808	10782	0.821422865	0.001358696	0.58974359
OTU_20	114	4793.148768	114042	0.6594801	0.001584786	0.244527247
OTU_23	119	1823.304589	55799	1	0.00155521	0.360347529
OTU_27	93	540.0927849	24020	0.899606526	0.001430615	0.497896213
OTU_30	9	94.38462834	1250	0.018164142	0.001123596	0.361111111
OTU_32	100	974.2149836	33111	0.935767422	0.001477105	0.456969697
OTU_36	95	551.839625	25644	0.920074728	0.001472754	0.494288914
OTU_38	12	1.895970727	82	0.027348369	0.001113586	0.878787879
OTU_39	39	336.1143273	8858	0.303801545	0.001340483	0.475033738
OTU_40	103	1795.602269	57836	0.777732617	0.001510574	0.364553588
OTU_41	77	3491.883735	52295	0.158241533	0.001392758	0.237867396
OTU_43	102	3304.84087	70232	0.811943425	0.001443001	0.388856533
OTU_46	56	1469.684167	28395	0.129473034	0.001317523	0.337012987
OTU_49	102	764.3685518	34641	0.95033449	0.001503759	0.452339352
OTU_51	55	1535.965658	48398	0.484918547	0.001328021	0.462626263
OTU_53	56	37.96246346	2019	0.670545352	0.00127551	0.800649351
OTU_55	123	4531.524297	87853	0.895020014	0.001589825	0.296681327
OTU_56	61	1986.632452	43559	0.13418933	0.001369863	0.287431694
OTU_57	64	76.6450831	4425	0.741822294	0.001315789	0.754960317
OTU_60	15	0	0	0.214185505	0.001085776	1
OTU_64	13	51.51310744	2013	0.063640943	0.001210654	0.58974359
OTU_65	67	2874.069739	40461	0.166089299	0.001402525	0.26006332
OTU_66	50	853.4895373	26529	0.096527122	0.001315789	0.369795918
OTU_68	36	283.4425376	4829	0.095312248	0.001230012	0.49047619
OTU_70	97	1382.457611	33986	0.893738054	0.001485884	0.452319588
OTU_71	24	8.037094177	248	0.311847904	0.001118568	0.876811594
OTU_74	87	375.7175711	20333	0.881386305	0.001451379	0.544239508
OTU_79	62	2450.06097	40161	0.148921694	0.001375516	0.344262295
OTU_81	76	2606.848193	55248	0.374758396	0.001381215	0.28245614
OTU_85	66	929.2802079	28960	0.51721778	0.001375516	0.432634033
OTU_91	34	339.8462959	14100	0.061334881	0.001203369	0.525846702
OTU_96	72	2088.759189	35388	0.226582366	0.001414427	0.252347418
OTU_97	47	771.2935103	23083	0.070065717	0.001267427	0.379278446
OTU_99	33	810.3721778	17399	0.109834458	0.001312336	0.40530303
OTU_101	33	80.51937355	5157	0.272946351	0.001221001	0.659090909
OTU_102	38	636.1158964	13713	0.113154173	0.001251564	0.507823613
OTU_103	37	361.8464825	12691	0.066213353	0.001253133	0.501501502
OTU_106	11	0.918850192	38	0.032160362	0.001114827	0.927272727
OTU_107	3	1.014010477	73	0.02409066	0.001025641	0.333333333
OTU_109	56	252.0879339	7229	0.177577719	0.001283697	0.528571429
OTU_112	29	30.91038322	635	0.365950414	0.001104972	0.832512315
OTU_114	42	161.9285616	5911	0.431591426	0.001312336	0.598141696
OTU_115	2	0	0	0.006267534	0.00094518	1
OTU_119	18	0.055598456	2	0.245283911	0.001057082	0.986928105
OTU_122	16	52.47113635	3940	0.076016569	0.001137656	0.7
OTU_126	73	509.7134798	13977	0.757585726	0.001358696	0.597031963
OTU_134	72	250.1253951	11271	0.787037293	0.001392758	0.656494523
OTU_136	39	453.9975906	9688	0.152874459	0.001293661	0.421052632
OTU_137	23	259.5851975	5229	0.069599353	0.001196172	0.537549407
OTU_139	37	383.2995801	6492	0.117255522	0.001287001	0.483483483
OTU_140	4	0	0	0.02399019	0.001091703	1
OTU_145	4	0	0	0.021128696	0.001059322	1
OTU_147	52	1423.669213	22695	0.203502652	0.0013947	0.389894419
OTU_148	63	66.06858258	4195	0.746368559	0.001331558	0.76702509
OTU_149	107	1097.00664	35528	0.94875317	0.00147929	0.407511903
OTU_154	61	620.5552039	20579	0.337156304	0.001373626	0.456830601
OTU_159	78	220.1314878	11042	0.815326503	0.001381215	0.601398601
OTU_162	41	122.0846677	3237	0.524516127	0.001236094	0.886585366
OTU_171	56	646.6411095	13353	0.575070268	0.001349528	0.58961039
OTU_172	11	18.99513743	326	0.036371526	0.001111111	0.690909091
OTU_174	44	385.1629421	10953	0.163942747	0.00130719	0.450317125
OTU_176	29	73.81768745	1976	0.085777479	0.001196172	0.615763547
OTU_178	18	0.081318348	4	0.254985013	0.001114827	0.980392157
OTU_179	29	25.718287	1128	0.310976576	0.001239157	0.669950739
OTU_180	19	37.37014082	1728	0.032372694	0.001121076	0.760233918
OTU_192	20	1.312549186	22	0.254738897	0.001055966	0.910526316
OTU_193	61	2478.816724	53801	0.42562777	0.00143472	0.29726776
OTU_196	14	3.574967378	94	0.105930826	0.001169591	0.769230769
OTU_201	68	1197.272284	25339	0.181908319	0.00135318	0.389815628
OTU_203	88	464.7108714	22589	0.882484959	0.001451379	0.536833856
OTU_205	5	0.166666667	1	0.007281869	0.000944287	0.9
OTU_206	66	738.9260158	19211	0.613359622	0.001385042	0.5002331
OTU_210	65	982.1326314	22393	0.188592034	0.001298701	0.414423077
OTU_215	82	1523.502872	46558	0.483772183	0.001416431	0.375790425
OTU_216	31	184.6991979	8857	0.059239714	0.001231527	0.561290323
OTU_219	5	0	0	0.016108593	0.000993049	1
OTU_220	1	0	0	0.008031122	0.000901713	0
OTU_222	44	488.0996031	10140	0.103467237	0.001290323	0.429175476
OTU_224	65	586.2914223	19057	0.305130051	0.001388889	0.444711538
OTU_230	29	57.36769791	3348	0.245994703	0.001265823	0.608374384
OTU_233	73	1052.138713	33525	0.359698501	0.0013947	0.407153729
OTU_235	14	5.207157178	164	0.045343998	0.001117318	0.868131868
OTU_237	1	0	0	0.002750737	0.000935454	0
OTU_243	3	0	0	0.004401332	0.000951475	1
OTU_246	11	7.221465733	117	0.025020599	0.00102145	0.654545455
OTU_248	53	66.08184662	3585	0.62411598	0.001328021	0.746734398
OTU_249	52	14.70298457	865	0.635715961	0.001210654	0.846907994
OTU_254	27	107.3964171	3351	0.140041831	0.001264223	0.566951567
OTU_255	32	208.7603913	6743	0.131631645	0.001293661	0.516129032
OTU_257	21	50.18121534	2133	0.205185289	0.001233046	0.719047619
OTU_263	54	524.3452782	20848	0.46188921	0.001355014	0.501048218
OTU_266	1	0	0	0.001874036	0.000865801	0
OTU_267	28	63.74229257	1818	0.075270064	0.001233046	0.687830688
OTU_268	34	496.0256785	12145	0.106778392	0.001315789	0.424242424
OTU_272	40	379.1497878	11011	0.054085982	0.001218027	0.441025641
OTU_273	45	434.5716131	12064	0.139114052	0.001177856	0.611111111
OTU_280	12	3.439592357	75	0.031483716	0.001037344	0.757575758
OTU_281	33	0.12960961	5	0.451556969	0.001078749	0.990530303
OTU_282	1	0	0	0.010158336	0.000927644	0
OTU_289	44	589.8053139	13417	0.096342309	0.001267427	0.418604651
OTU_290	7	1.897390562	25	0.016249982	0.001030928	0.761904762
OTU_295	7	0.14	3	0.035279305	0.001086957	0.904761905
OTU_299	66	1081.945904	23530	0.311445509	0.0013947	0.387878788
OTU_301	61	175.2672245	7574	0.651194494	0.001362398	0.618032787
OTU_309	17	140.0423585	3100	0.070726898	0.001287001	0.426470588
OTU_310	6	0.826539902	23	0.013925738	0.001076426	0.866666667
OTU_314	1	0	0	0.013447241	0.000953289	0
OTU_315	57	346.8401181	8217	0.186157216	0.001312336	0.505639098
OTU_316	41	79.18731262	3413	0.45032755	0.00130719	0.65
OTU_317	47	271.3750659	6858	0.168346884	0.001298701	0.591119334
OTU_318	2	0	0	0.003172777	0.000912409	1
OTU_319	43	676.2285513	21481	0.070541563	0.001265823	0.425249169
OTU_329	28	114.8534016	2082	0.111945728	0.001206273	0.674603175
OTU_332	58	438.2538526	12019	0.657642856	0.001302083	0.68784029
OTU_334	2	0	0	0.009669924	0.00102459	1
OTU_336	15	8.012025019	298	0.037049768	0.001106195	0.828571429
OTU_338	51	1223.308474	32798	0.35422133	0.001375516	0.381176471
OTU_339	10	0.174242424	2	0.012363438	0.000994036	0.955555556
