#module: 19
#modularity: 0.3231063
No	ID	No. module	Zi	Pi	Network roles
1	OTU_98	2	-0.127951293773644	0.46875	Peripheral species
2	OTU_9692	2	-0.365575125067556	0.444444444444444	Peripheral species
3	OTU_9503	3	-0.686161147706986	0.571428571428571	Peripheral species
4	OTU_95	3	1.55945715387951	0.585034013605442	Peripheral species
5	OTU_941	1	0.0306713836065872	0.444444444444444	Peripheral species
6	OTU_93	2	-0.603198956361467	0	Peripheral species
7	OTU_9075	3	0.0623782861551806	0.569444444444444	Peripheral species
8	OTU_907	6	0	0	Peripheral species
9	OTU_8160	3	1.18518743694843	0.402777777777778	Peripheral species
10	OTU_752	1	-0.843463049181149	0.5	Peripheral species
11	OTU_734	1	0.322049527869166	0.46875	Peripheral species
12	OTU_6704	3	0.436648003086264	0.512396694214876	Peripheral species
13	OTU_629	3	-1.80897029850023	0	Peripheral species
14	OTU_6157	4	0	0	Peripheral species
15	OTU_6117	3	0.436648003086264	0.650519031141868	Connector hubs
16	OTU_512	2	-1.07844661894929	0	Peripheral species
17	OTU_5003	2	-1.07844661894929	0	Peripheral species
18	OTU_4945	2	1.06016786269591	0.277777777777778	Peripheral species
19	OTU_48	1	2.07031839344464	0.594104308390023	Peripheral species
20	OTU_47	2	1.29779169398982	0.456747404844291	Peripheral species
21	OTU_4440	2	0.109672537520267	0.40625	Peripheral species
22	OTU_44	2	2.01066318787156	0.409972299168975	Peripheral species
23	OTU_418	7	0	0	Peripheral species
24	OTU_391	2	0.822544031402	0	Peripheral species
25	OTU_3616	1	-0.843463049181149	0	Peripheral species
26	OTU_35	2	1.53541552528373	0.4140625	Peripheral species
27	OTU_3447	2	-0.127951293773644	0.408163265306122	Peripheral species
28	OTU_34	1	1.1961839606569	0.32	Peripheral species
29	OTU_33	3	0.0623782861551806	0.40625	Peripheral species
30	OTU_3004	8	0	0	Peripheral species
31	OTU_29	1	-0.55208490491857	0.64	Connector hubs
32	OTU_2861	2	0.347296368814178	0.462809917355372	Peripheral species
33	OTU_26166	5	0	0	Peripheral species
34	OTU_26	2	2.48591085045938	0.4234404536862	Peripheral species
35	OTU_25603	9	0	0	Peripheral species
36	OTU_24683	1	-0.843463049181149	0.5	Peripheral species
37	OTU_24593	1	0.0306713836065872	0	Peripheral species
38	OTU_24588	10	0	0	Peripheral species
39	OTU_24463	11	0	0	Peripheral species
40	OTU_238	2	-1.07844661894929	0	Peripheral species
41	OTU_23172	12	0	0	Peripheral species
42	OTU_2315	3	0.810917720017347	0.604444444444444	Peripheral species
43	OTU_22996	13	0	0	Peripheral species
44	OTU_22990	2	-1.07844661894929	0	Peripheral species
45	OTU_22989	1	-0.843463049181149	0	Peripheral species
46	OTU_22988	3	-1.43470058156915	0.444444444444444	Peripheral species
47	OTU_226	3	-1.06043086463807	0	Peripheral species
48	OTU_21756	14	0	0	Peripheral species
49	OTU_209	15	0	0	Peripheral species
50	OTU_20882	1	-0.55208490491857	0	Peripheral species
51	OTU_208	16	0	0	Peripheral species
52	OTU_20665	17	0	0	Peripheral species
53	OTU_2	1	2.65307468196979	0.526077097505669	Module hubs
54	OTU_19946	2	-0.840822787655378	0	Peripheral species
55	OTU_19871	2	0.109672537520267	0.444444444444444	Peripheral species
56	OTU_18729	1	-0.55208490491857	0	Peripheral species
57	OTU_18428	1	-0.843463049181149	0.5	Peripheral species
58	OTU_17857	2	-0.127951293773644	0.277777777777778	Peripheral species
59	OTU_17856	1	-0.843463049181149	0	Peripheral species
60	OTU_17826	18	0	0	Peripheral species
61	OTU_17243	1	0.904805816394323	0.21875	Peripheral species
62	OTU_1666	3	0.436648003086264	0.42	Peripheral species
63	OTU_15867	4	0	0	Peripheral species
64	OTU_15423	2	-1.07844661894929	0	Peripheral species
65	OTU_15076	1	-0.260706760655991	0.5	Peripheral species
66	OTU_15041	2	-1.07844661894929	0	Peripheral species
67	OTU_146	2	0.109672537520267	0.5	Peripheral species
68	OTU_14013	2	0.109672537520267	0.48	Peripheral species
69	OTU_11941	5	0	0	Peripheral species
70	OTU_11565	1	-0.260706760655991	0.375	Peripheral species
71	OTU_1146	2	0.347296368814178	0	Peripheral species
72	OTU_1143	2	-0.840822787655378	0	Peripheral species
73	OTU_11100	19	0	0	Peripheral species
74	OTU_10581	1	0.0306713836065872	0	Peripheral species
75	OTU_10068	2	-0.840822787655378	0	Peripheral species
