	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_98	8	57.4873015873016	282	0.466447903016946	0.00392156862745098	0.678571428571429
OTU_9692	6	0.253968253968254	3	0.394065088420902	0.00381679389312977	0.933333333333333
OTU_9503	7	3.9107614487847	64	0.441388466240213	0.00403225806451613	0.80952380952381
OTU_95	21	137.156706758478	582	0.973730385087402	0.00432900432900433	0.376190476190476
OTU_941	12	26.9069244139161	186	0.592461267325966	0.00408163265306122	0.575757575757576
OTU_93	3	1.44285714285714	6	0.0419233923741777	0.00327868852459016	0.666666666666667
OTU_9075	12	20.0403624670536	144	0.647466119395065	0.00404858299595142	0.575757575757576
OTU_8160	12	20.26894853131	148	0.635915116084598	0.00413223140495868	0.651515151515151
OTU_752	2	0	0	0.10222713060084	0.0036231884057971	1
OTU_734	8	12.6699291047117	75	0.262786583541542	0.00383141762452107	0.535714285714286
OTU_6704	11	23.3309739455094	216	0.60278393194418	0.00420168067226891	0.636363636363636
OTU_629	1	0	0	0.0606712143939135	0.00338983050847458	0
OTU_6157	1	0	0	0.01411901659609	0.00313479623824451	0
OTU_6117	17	101.017415001253	491	0.852402619576455	0.00429184549356223	0.441176470588235
OTU_512	1	0	0	0.0382987651214252	0.00320512820512821	0
OTU_5003	1	0	0	0.0608396404414845	0.00353356890459364	0
OTU_4945	12	27.7136014142977	196	0.619008679223381	0.00416666666666667	0.575757575757576
OTU_48	21	172.415939705075	860	0.718460280413726	0.00416666666666667	0.266666666666667
OTU_47	17	126.60860362187	547	0.801788996382831	0.00431034482758621	0.411764705882353
OTU_4440	8	67.0002482136941	295	0.358200052600891	0.004149377593361	0.464285714285714
OTU_44	19	243.494724730757	1103	0.740977486199937	0.00442477876106195	0.315789473684211
OTU_391	9	211.995566362138	915	0.206834074852739	0.00392156862745098	0.222222222222222
OTU_3616	1	0	0	0.0485093361324929	0.00346020761245675	0
OTU_35	16	112.355245025724	544	0.748261655089715	0.00431034482758621	0.416666666666667
OTU_3447	7	7.69611958090219	54	0.284741732353895	0.00390625	0.571428571428571
OTU_34	10	102.331681732584	469	0.282772433661662	0.004	0.333333333333333
OTU_33	8	3.9752579763805	43	0.480020034863398	0.00396825396825397	0.785714285714286
OTU_29	5	5.31195673509827	60	0.266611804817891	0.00396825396825397	0.6
OTU_2861	11	20.3961385032037	110	0.628146076786295	0.00411522633744856	0.636363636363636
OTU_26166	1	0	0	1.98180233805863e-17	0.000277777777777778	0
OTU_26	23	292.548718101489	1341	1	0.00448430493273543	0.304347826086957
OTU_24683	2	0	0	0.109348976573977	0.0037593984962406	1
OTU_24593	4	0.977453102453102	7	0.113273230455834	0.0034965034965035	0.833333333333333
OTU_238	1	0	0	0.0821072725886686	0.00357142857142857	0
OTU_2315	15	97.8712563380108	426	0.738926193515854	0.00420168067226891	0.457142857142857
OTU_22990	1	0	0	0.0658327076846001	0.00346020761245675	0
OTU_22989	1	0	0	0.0232176732912193	0.00325732899022801	0
OTU_22988	3	0	0	0.198944730997939	0.003584229390681	1
OTU_226	3	0	0	0.175043899843754	0.0036231884057971	1
OTU_20882	2	0	0	0.0700860257799832	0.00347222222222222	1
OTU_2	21	290.349748413363	1173	0.590804378261464	0.00431034482758621	0.20952380952381
OTU_19946	2	0	0	0.133682633740863	0.003584229390681	1
OTU_19871	9	12.8916137550164	159	0.438198974539202	0.00413223140495868	0.638888888888889
OTU_18729	2	0	0	0.0822084873792803	0.00346020761245675	1
OTU_18428	2	0	0	0.0925479465321264	0.00357142857142857	1
OTU_17857	6	0	0	0.400992804912839	0.00395256916996047	1
OTU_17856	1	0	0	0.0485093361324929	0.00346020761245675	0
OTU_17243	8	31.838529949335	156	0.27475632279595	0.00392156862745098	0.464285714285714
OTU_1666	10	24.0365163116698	124	0.522247257227957	0.00404858299595142	0.666666666666667
OTU_15867	4	57.4984126984127	132	0.171958173142856	0.00381679389312977	0.333333333333333
OTU_15423	1	0	0	0.016982581764559	0.00320512820512821	0
OTU_15076	6	3.2959362821213	49	0.269132119472873	0.00395256916996047	0.8
OTU_15041	1	0	0	0.016982581764559	0.00320512820512821	0
OTU_146	12	78.3955364003356	483	0.526583275142747	0.00423728813559322	0.484848484848485
OTU_14013	10	20.2287223790815	215	0.457947250912932	0.004149377593361	0.577777777777778
OTU_11941	1	0	0	2.07234901110399e-17	0.000277777777777778	0
OTU_11565	4	1.73630717108978	14	0.216816743389028	0.00378787878787879	0.833333333333333
OTU_1146	7	64.4472907807191	450	0.283334051751445	0.00390625	0.476190476190476
OTU_1143	2	0	0	0.0402463679853667	0.00326797385620915	1
OTU_10581	4	2.10272606003538	24	0.103587057725016	0.0036101083032491	0.833333333333333
OTU_10068	2	0	0	0.0204247971700673	0.00321543408360129	1
