	Node degree	Node betweenness	Node stress	Node eigenvector centrality scores	Node closeness	Clustering coefficient
OTU_2	35	1460.378486	18397	0.210600626	0.002008032	0.342857143
OTU_3	14	442.1065795	5304	0.033324049	0.001633987	0.263736264
OTU_4	64	1472.901634	19457	0.362670518	0.002159827	0.305555556
OTU_5	45	1018.751115	21835	0.402306527	0.00204918	0.34040404
OTU_6	44	1145.695177	21056	0.351544325	0.002070393	0.317124736
OTU_7	104	2096.882974	35788	0.983314387	0.002364066	0.275018671
OTU_9	13	246.1914998	1941	0.083793883	0.001890359	0.538461538
OTU_10	40	781.4193004	10914	0.205236146	0.001980198	0.315384615
OTU_11	112	3300.699924	45736	1	0.00243309	0.242921493
OTU_13	73	3093.648571	41089	0.636635259	0.002212389	0.271689498
OTU_14	7	8.249252645	175	0.032463265	0.001594896	0.761904762
OTU_16	42	336.6927365	9357	0.27407087	0.001949318	0.430894309
OTU_17	29	1116.740733	20586	0.181028024	0.001883239	0.275862069
OTU_18	38	986.8445267	18619	0.324962808	0.002028398	0.342816501
OTU_19	44	1378.503423	20397	0.183036469	0.002012072	0.265327696
OTU_21	25	129.1045199	4462	0.190793966	0.001876173	0.62
OTU_22	19	130.4398475	3416	0.118986002	0.001923077	0.567251462
OTU_23	22	24.68943075	877	0.251968706	0.001915709	0.70995671
OTU_24	14	24.99801471	451	0.060167397	0.001567398	0.703296703
OTU_25	42	235.0573746	6725	0.468916067	0.002012072	0.538908246
OTU_27	34	742.3171742	12487	0.200400896	0.001992032	0.317290553
OTU_28	37	392.9997109	7867	0.237874741	0.001919386	0.509009009
OTU_29	1	0	0	0.000762424	0.001169591	0
OTU_30	60	1015.958236	11832	0.369658753	0.002083333	0.30960452
OTU_32	10	0	0	0.199843901	0.00177305	1
OTU_33	54	367.3557619	10670	0.341512846	0.002	0.394129979
OTU_35	1	0	0	0.004818354	0.001349528	0
OTU_36	71	1230.384727	20887	0.598928143	0.002178649	0.308651911
OTU_38	52	393.7591418	7510	0.711772906	0.002079002	0.552790347
OTU_40	69	815.4201643	19735	0.552709287	0.002227171	0.331202046
OTU_42	38	113.5352839	2777	0.282946382	0.001893939	0.567567568
OTU_45	76	871.0909382	16901	0.851396003	0.002222222	0.374385965
OTU_47	13	34.30621092	963	0.072146779	0.001776199	0.666666667
OTU_49	22	72.79133489	1729	0.311621553	0.001912046	0.683982684
OTU_50	15	0	0	0.286406078	0.001689189	1
OTU_52	15	42.79266699	555	0.063607343	0.001650165	0.533333333
OTU_53	14	18.32199144	344	0.064583725	0.001706485	0.747252747
OTU_54	10	142.0658288	1757	0.113300023	0.001597444	0.777777778
OTU_58	14	5.633966955	399	0.237017332	0.001845018	0.857142857
OTU_59	11	252.6420691	2962	0.052627938	0.001631321	0.490909091
OTU_60	16	336.4294167	3439	0.034628716	0.001644737	0.375
OTU_63	8	10.36369771	109	0.033132939	0.001512859	0.75
OTU_64	3	4.252185959	58	0.027860446	0.001560062	0.333333333
OTU_67	1	0	0	0.000471845	0.001138952	0
OTU_69	20	325.029663	7048	0.094718412	0.001811594	0.373684211
OTU_76	1	0	0	0.020763114	0.00148368	0
OTU_80	10	62.68177117	734	0.045925804	0.001631321	0.4
