957,Pantoea,Xanthomonas,Microbacterium,Pseudomonas,Sphingomonas,Curtobacterium,Staphylococcus,Methylobacterium,Burkholderia,Paenibacillus,Rhizobium,Bacillus
P_NC_P64,125,68,32,45,27,10,19,11,9,8,4,2
P_NC_Dular,111,133,1,50,0,0,0,0,0,0,0,1
O_SY_P64,87,13,1,0,0,0,0,0,0,0,0,0
O_SY_Dular,43,4,6,0,4,0,0,0,0,0,1,0
O_XB_P64,0,21,35,0,0,0,0,0,0,0,0,0
O_XB_Dular,0,16,11,0,0,0,0,0,0,0,0,0
O_LF_P64,6,2,11,0,0,0,0,0,0,0,0,0
O_LF_Dular,0,3,16,0,1,0,0,0,0,0,0,0
O_NC_P64,2,4,1,2,0,0,0,0,0,0,2,0
O_NC_Dular,3,1,1,4,0,1,0,0,0,0,0,0
